timestamp,accelerationX,accelerationY,accelerationZ
20240826200519,0.02,-0.71,-0.71
20240826200521,0.02,-0.7,-0.71
20240826200522,0.02,-0.7,-0.71
20240826200523,0.02,-0.71,-0.71
20240826200525,0.02,-0.71,-0.71
20240826200526,0.02,-0.7,-0.71
20240826200527,0.02,-0.7,-0.71
20240826200528,0.02,-0.71,-0.71
20240826200530,0.02,-0.7,-0.71
20240826200531,0.02,-0.7,-0.71
20240826200532,0.02,-0.71,-0.71
20240826200533,0.02,-0.71,-0.71
20240826200535,0.02,-0.71,-0.71
20240826200536,0.02,-0.7,-0.71
20240826200537,0.02,-0.71,-0.71
20240826200538,0.02,-0.71,-0.71
20240826200540,0.02,-0.71,-0.71
20240826200541,0.02,-0.71,-0.71
20240826200542,0.02,-0.71,-0.71
20240826200543,0.02,-0.71,-0.71
20240826200545,0.02,-0.7,-0.71
20240826200546,0.02,-0.7,-0.71
20240826200547,0.02,-0.71,-0.71
20240826200548,0.02,-0.71,-0.71
20240826200550,0.01,-0.7,-0.71
20240826200551,0.02,-0.71,-0.71
20240826200552,0.02,-0.71,-0.71
20240826200554,0.02,-0.71,-0.71
20240826200555,0.02,-0.7,-0.71
20240826200556,0.02,-0.7,-0.71
20240826200557,0.02,-0.7,-0.71
20240826200558,0.02,-0.7,-0.71
20240826200600,0.02,-0.7,-0.71
20240826200601,0.01,-0.7,-0.71
20240826200602,0.02,-0.71,-0.71
20240826200604,0.02,-0.71,-0.71
20240826200605,0.02,-0.71,-0.71
20240826200606,0.02,-0.71,-0.71
20240826200607,0.02,-0.71,-0.71
20240826200609,0.02,-0.7,-0.71
20240826200610,0.02,-0.7,-0.71
20240826200611,0.02,-0.71,-0.71
20240826200612,0.02,-0.71,-0.71
20240826200614,0.02,-0.7,-0.71
20240826200615,0.02,-0.7,-0.71
20240826200616,0.02,-0.7,-0.71
20240826200617,0.02,-0.71,-0.71
20240826200619,0.02,-0.71,-0.71
20240826200620,0.02,-0.7,-0.71
20240826200621,0.02,-0.71,-0.71
20240826200622,0.02,-0.71,-0.71
20240826200623,0.02,-0.71,-0.71
20240826200625,0.02,-0.71,-0.71
20240826200626,0.02,-0.7,-0.71
20240826200627,0.01,-0.7,-0.71
20240826200628,0.02,-0.71,-0.71
20240826200630,0.02,-0.7,-0.71
20240826200631,0.02,-0.71,-0.71
20240826200632,0.02,-0.71,-0.71
20240826200633,0.02,-0.71,-0.71
20240826200635,0.02,-0.7,-0.71
20240826200636,0.02,-0.7,-0.71
20240826200637,0.02,-0.71,-0.71
20240826200638,0.02,-0.71,-0.71
20240826200640,0.02,-0.71,-0.71
20240826200641,0.02,-0.7,-0.71
20240826200642,0.02,-0.7,-0.71
20240826200644,0.02,-0.71,-0.71
20240826200645,0.02,-0.7,-0.71
20240826200646,0.02,-0.71,-0.71
20240826200647,0.02,-0.71,-0.71
20240826200648,0.02,-0.7,-0.71
20240826200650,0.02,-0.71,-0.71
20240826200651,0.02,-0.71,-0.71
20240826200652,0.02,-0.71,-0.71
20240826200653,0.02,-0.7,-0.71
20240826200655,0.02,-0.71,-0.71
20240826200656,0.02,-0.71,-0.71
20240826200657,0.02,-0.71,-0.71
20240826200658,0.02,-0.71,-0.71
20240826200700,0.02,-0.71,-0.71
20240826200701,0.02,-0.71,-0.71
20240826200702,0.02,-0.71,-0.71
20240826200703,0.02,-0.7,-0.71
20240826200705,0.02,-0.7,-0.71
20240826200706,0.02,-0.71,-0.71
20240826200707,0.02,-0.71,-0.71
20240826200708,0.02,-0.71,-0.71
20240826200710,0.02,-0.71,-0.71
20240826200711,0.02,-0.71,-0.71
20240826200712,0.02,-0.7,-0.71
20240826200714,0.02,-0.71,-0.71
20240826200715,0.02,-0.7,-0.71
20240826200716,0.02,-0.71,-0.71
20240826200717,0.02,-0.71,-0.71
20240826200719,0.02,-0.71,-0.71
20240826200720,0.02,-0.7,-0.71
20240826200721,0.02,-0.71,-0.71
20240826200722,0.02,-0.71,-0.71
20240826200724,0.02,-0.7,-0.71
20240826200725,0.02,-0.71,-0.71
20240826200726,0.02,-0.71,-0.71
20240826200727,0.02,-0.71,-0.71
20240826200729,0.02,-0.71,-0.71
20240826200730,0.02,-0.71,-0.71
20240826200731,0.02,-0.7,-0.71
20240826200732,0.02,-0.71,-0.71
20240826200734,0.02,-0.71,-0.71
20240826200735,0.02,-0.71,-0.71
20240826200736,0.02,-0.71,-0.71
20240826200737,0.02,-0.7,-0.71
20240826200739,0.02,-0.71,-0.71
20240826200740,0.02,-0.7,-0.71
20240826200741,0.02,-0.7,-0.71
20240826200742,0.02,-0.71,-0.71
20240826200744,0.02,-0.71,-0.71
20240826200745,0.02,-0.71,-0.71
20240826200746,0.02,-0.7,-0.71
20240826200747,0.02,-0.7,-0.71
20240826200749,0.02,-0.71,-0.71
20240826200750,0.01,-0.71,-0.71
20240826200751,0.02,-0.7,-0.71
20240826200753,0.02,-0.71,-0.71
20240826200754,0.02,-0.71,-0.71
20240826200755,0.02,-0.7,-0.71
20240826200756,0.02,-0.71,-0.71
20240826200758,0.02,-0.7,-0.71
20240826200759,0.02,-0.71,-0.71
20240826200800,0.02,-0.7,-0.71
20240826200801,0.02,-0.7,-0.71
20240826200803,0.02,-0.71,-0.71
20240826200804,0.02,-0.7,-0.71
20240826200805,0.02,-0.7,-0.71
20240826200806,0.02,-0.71,-0.71
20240826200808,0.02,-0.7,-0.71
20240826200809,0.02,-0.71,-0.71
20240826200810,0.02,-0.71,-0.71
20240826200811,0.02,-0.71,-0.71
20240826200813,0.02,-0.7,-0.71
20240826200814,0.02,-0.71,-0.71
20240826200815,0.02,-0.71,-0.71
20240826200817,0.02,-0.7,-0.71
20240826200818,0.02,-0.71,-0.71
20240826200819,0.02,-0.7,-0.71
20240826200820,0.02,-0.7,-0.71
20240826200822,0.02,-0.71,-0.71
20240826200823,0.02,-0.7,-0.71
20240826200824,0.02,-0.71,-0.71
20240826200825,0.02,-0.71,-0.71
20240826200827,0.02,-0.7,-0.71
20240826200828,0.02,-0.71,-0.71
20240826200829,0.02,-0.7,-0.71
20240826200830,0.02,-0.7,-0.71
20240826200832,0.02,-0.7,-0.71
20240826200833,0.02,-0.7,-0.71
20240826200834,0.02,-0.71,-0.71
20240826200835,0.01,-0.71,-0.71
20240826200837,0.02,-0.7,-0.71
20240826200838,0.02,-0.71,-0.71
20240826200839,0.02,-0.71,-0.71
20240826200840,0.02,-0.7,-0.71
20240826200842,0.02,-0.71,-0.71
20240826200843,0.02,-0.71,-0.71
20240826200844,0.02,-0.7,-0.71
20240826200846,0.02,-0.71,-0.71
20240826200847,0.02,-0.7,-0.71
20240826200848,0.02,-0.71,-0.71
20240826200849,0.02,-0.7,-0.71
20240826200851,0.02,-0.71,-0.71
20240826200852,0.02,-0.71,-0.71
20240826200853,0.01,-0.71,-0.71
20240826200854,0.02,-0.71,-0.71
20240826200856,0.02,-0.71,-0.71
20240826200857,0.02,-0.7,-0.71
20240826200858,0.01,-0.7,-0.71
20240826200859,0.01,-0.71,-0.71
20240826200901,0.02,-0.71,-0.71
20240826200902,0.02,-0.71,-0.71
20240826200903,0.02,-0.71,-0.71
20240826200904,0.02,-0.71,-0.71
20240826200905,0.02,-0.71,-0.71
20240826200907,0.02,-0.7,-0.71
20240826200908,0.02,-0.71,-0.71
20240826200909,0.02,-0.71,-0.71
20240826200911,0.02,-0.71,-0.71
20240826200912,0.02,-0.71,-0.71
20240826200913,0.02,-0.71,-0.71
20240826200914,0.02,-0.7,-0.71
20240826200915,0.02,-0.71,-0.71
20240826200917,0.02,-0.71,-0.71
20240826200918,0.02,-0.71,-0.71
20240826200919,0.02,-0.71,-0.71
20240826200920,0.02,-0.71,-0.71
20240826200922,0.01,-0.71,-0.71
20240826200923,0.02,-0.71,-0.71
20240826200924,0.02,-0.71,-0.71
20240826200925,0.02,-0.71,-0.71
20240826200927,0.02,-0.71,-0.71
20240826200928,0.02,-0.71,-0.71
20240826200929,0.02,-0.7,-0.71
20240826200931,0.02,-0.7,-0.71
20240826200932,0.01,-0.71,-0.71
20240826200933,0.02,-0.71,-0.71
20240826200934,0.02,-0.71,-0.71
20240826200936,0.02,-0.71,-0.71
20240826200937,0.02,-0.7,-0.71
20240826200938,0.02,-0.7,-0.71
20240826200939,0.02,-0.71,-0.71
20240826200941,0.02,-0.71,-0.71
20240826200942,0.02,-0.7,-0.71
20240826200943,0.02,-0.71,-0.71
20240826200944,0.02,-0.7,-0.71
20240826200946,0.02,-0.7,-0.71
20240826200947,0.02,-0.71,-0.71
20240826200948,0.02,-0.71,-0.71
20240826200949,0.02,-0.71,-0.71
20240826200951,0.01,-0.71,-0.71
20240826200952,0.02,-0.71,-0.71
20240826200953,0.02,-0.7,-0.71
20240826200954,0.02,-0.71,-0.71
20240826200956,0.02,-0.71,-0.71
20240826200957,0.02,-0.71,-0.71
20240826200958,0.02,-0.7,-0.71
20240826201000,0.02,-0.71,-0.71
20240826201001,0.02,-0.71,-0.71
20240826201002,0.02,-0.71,-0.71
20240826201003,0.01,-0.71,-0.71
20240826201005,0.02,-0.71,-0.71
20240826201006,0.02,-0.71,-0.71
20240826201007,0.01,-0.71,-0.71
20240826201008,0.02,-0.71,-0.71
20240826201010,0.02,-0.71,-0.71
20240826201011,0.01,-0.71,-0.71
20240826201012,0.02,-0.71,-0.71
20240826201013,0.01,-0.71,-0.71
20240826201014,0.02,-0.71,-0.71
20240826201016,0.02,-0.71,-0.71
20240826201017,0.02,-0.71,-0.71
20240826201018,0.02,-0.71,-0.71
20240826201019,0.02,-0.71,-0.71
20240826201021,0.02,-0.71,-0.71
20240826201022,0.02,-0.71,-0.71
