time,value
2024-09-02T14:56:26.732050622Z,{"lat":-37.86755202698467,"lon":145.21474505015078}
2024-09-02T14:56:27.720898723Z,{"lat":-37.867571326891614,"lon":145.2147445546796}
2024-09-02T14:56:28.751970405Z,{"lat":-37.8673141933229,"lon":145.21467355161016}
2024-09-02T14:56:29.769005702Z,{"lat":-37.86739516644509,"lon":145.21460343737854}
2024-09-02T14:56:30.773342812Z,{"lat":-37.86737592150033,"lon":145.21467455536725}
2024-09-02T14:56:31.793356405Z,{"lat":-37.8672398186024,"lon":145.21453755702717}
2024-09-02T14:56:32.834476102Z,{"lat":-37.86721302291365,"lon":145.21447432995976}
2024-09-02T14:56:33.788184453Z,{"lat":-37.86723736563741,"lon":145.21449240279037}
2024-09-02T14:56:34.814148076Z,{"lat":-37.86719656293265,"lon":145.21444254971297}
2024-09-02T14:56:35.862300104Z,{"lat":-37.867027055324016,"lon":145.21423196033183}
2024-09-02T14:56:36.825398095Z,{"lat":-37.867110933230975,"lon":145.21410836610377}
2024-09-02T14:56:37.824252576Z,{"lat":-37.86718270543208,"lon":145.2141923479994}
2024-09-02T14:56:38.851207148Z,{"lat":-37.86720346339543,"lon":145.21423073697366}
2024-09-02T14:56:39.862328887Z,{"lat":-37.867147207482475,"lon":145.21415867523206}
2024-09-02T14:56:40.861993475Z,{"lat":-37.86717855045821,"lon":145.21419215514305}
2024-09-02T14:56:41.880941527Z,{"lat":-37.86717196174865,"lon":145.21417911073152}
2024-09-02T14:56:42.90122027Z,{"lat":-37.867129064582976,"lon":145.21412314366032}
2024-09-02T14:56:43.930006015Z,{"lat":-37.86709806888431,"lon":145.21419661974227}
2024-09-02T14:56:44.950101115Z,{"lat":-37.86712052003648,"lon":145.21423653065492}
2024-09-02T14:56:45.958198655Z,{"lat":-37.86713152275217,"lon":145.21417596198663}
2024-09-02T14:56:46.952275156Z,{"lat":-37.86754368535305,"lon":145.21482623698103}
2024-09-02T14:56:47.97797308Z,{"lat":-37.8675527852336,"lon":145.21483541845768}
2024-09-02T14:56:49.010238337Z,{"lat":-37.86755844820573,"lon":145.21485053141777}
2024-09-02T14:56:50.006084239Z,{"lat":-37.867562191870945,"lon":145.2148632754546}
2024-09-02T14:56:51.028025517Z,{"lat":-37.86757452852575,"lon":145.2148689969885}
2024-09-02T14:56:52.015168998Z,{"lat":-37.86757985177859,"lon":145.2148925711067}
2024-09-02T14:56:53.038163675Z,{"lat":-37.86755843216083,"lon":145.2148920202126}
2024-09-02T14:56:54.038993018Z,{"lat":-37.86754143836295,"lon":145.2148745056289}
2024-09-02T14:56:55.067160566Z,{"lat":-37.867537211818544,"lon":145.21488038502497}
2024-09-02T14:56:56.051036952Z,{"lat":-37.86753515364755,"lon":145.2148875926952}
2024-09-02T14:56:57.069073012Z,{"lat":-37.86752910668398,"lon":145.2148923462797}
