Timestamp,X,Y,Z
20240728014151,0.10,0.84,0.48
20240728014152,0.09,0.81,0.53
20240728014153,0.09,0.80,0.55
20240728014154,0.09,0.78,0.55
20240728014155,0.10,0.81,0.52
20240728014156,0.11,0.92,0.26
20240728014157,0.10,0.91,0.30
20240728014158,0.10,0.91,0.31
20240728014159,0.11,0.87,0.38
20240728014200,0.09,0.74,0.64
20240728014201,0.10,0.71,0.67
20240728014202,0.09,0.76,0.61
20240728014203,0.09,0.73,0.65
20240728014204,0.09,0.73,0.65
20240728014205,0.09,0.72,0.67
20240728014206,0.09,0.72,0.67
20240728014207,0.09,0.76,0.62
20240728014208,0.09,0.81,0.54
20240728014209,0.10,0.67,0.72
20240728014210,0.09,0.68,0.73
20240728014211,0.10,0.71,0.66
20240728014212,0.09,0.78,0.58
20240728014213,0.12,0.73,0.63
20240728014214,0.09,0.72,0.66
20240728014215,0.09,0.74,0.64
20240728014216,0.09,0.73,0.65
20240728014217,0.10,0.72,0.67
20240728014218,0.09,0.75,0.62
20240728014219,0.08,0.72,0.67
20240728014220,0.09,0.74,0.64
20240728014221,0.10,0.71,0.67
20240728014222,0.10,0.72,0.66
20240728014223,0.09,0.74,0.63
20240728014224,0.11,0.66,0.72
20240728014225,0.11,0.69,0.69
20240728014226,0.11,0.71,0.67
20240728014227,0.10,0.72,0.67
20240728014228,0.10,0.76,0.61
20240728014229,0.10,0.75,0.63
20240728014230,0.10,0.75,0.63
20240728014231,0.10,0.78,0.58
20240728014232,0.10,0.77,0.59
20240728014233,0.10,0.73,0.65
20240728014234,0.10,0.74,0.63
20240728014235,0.09,0.74,0.64
20240728014236,0.10,0.73,0.65
20240728014237,0.10,0.73,0.65
20240728014238,0.22,0.75,0.41
20240728014239,0.09,0.90,0.35
20240728014240,0.10,0.89,0.38
20240728014241,0.11,0.90,0.31
20240728014242,0.10,0.74,0.64
20240728014243,0.09,0.91,0.31
20240728014244,0.09,0.78,0.58
20240728014245,0.09,0.77,0.61
20240728014246,0.08,0.78,0.58
20240728014247,0.08,0.76,0.62
20240728014248,0.08,0.76,0.61
20240728014249,0.08,0.76,0.62
20240728014250,0.10,0.75,0.60
20240728014251,0.09,0.70,0.69
20240728014252,0.09,0.72,0.66
20240728014253,0.09,0.76,0.61
20240728014254,0.09,0.71,0.67
20240728014255,0.09,0.74,0.64
20240728014256,0.09,0.74,0.64
20240728014257,0.09,0.74,0.65
20240728014258,0.09,0.73,0.64
20240728014259,0.09,0.76,0.61
20240728014300,0.09,0.76,0.61
20240728014301,0.09,0.77,0.60
20240728014302,0.09,0.80,0.55
20240728014303,0.09,0.78,0.59
20240728014304,0.08,0.76,0.62
20240728014305,0.09,0.80,0.56
20240728014306,0.09,0.77,0.60
20240728014307,0.09,0.77,0.61
20240728014308,0.09,0.75,0.63
20240728014309,0.09,0.76,0.61
20240728014310,0.09,0.76,0.61
20240728014311,0.09,0.74,0.64
20240728014312,0.09,0.74,0.63
20240728014313,0.09,0.76,0.62
20240728014314,0.09,0.78,0.58
20240728014315,0.09,0.76,0.62
20240728014316,0.09,0.76,0.62
20240728014317,0.09,0.83,0.51
20240728014318,0.09,0.80,0.56
20240728014319,0.09,0.75,0.62
20240728014320,0.09,0.75,0.63
20240728014321,0.09,0.74,0.64
20240728014322,0.09,0.75,0.63
20240728014323,0.08,0.78,0.58
20240728014324,0.09,0.76,0.61
20240728014325,0.09,0.80,0.55
20240728014326,0.09,0.78,0.59
20240728014327,0.10,0.77,0.59
20240728014328,0.09,0.77,0.60
20240728014329,0.09,0.78,0.59
20240728014330,0.09,0.77,0.60
20240728014331,0.09,0.77,0.60
20240728014332,0.09,0.77,0.60
20240728014333,0.09,0.77,0.60
20240728014334,0.08,0.77,0.60
20240728014335,0.10,0.79,0.57
20240728014336,0.07,0.80,0.56
20240728014337,0.05,0.92,0.28
20240728014338,0.06,0.94,0.24
20240728014339,0.05,0.94,0.18
20240728014340,-0.19,1.35,0.58
20240728014341,-0.12,0.84,0.68
20240728014342,-0.06,0.08,0.39
20240728014343,-0.12,0.93,0.35
20240728014344,0.15,0.97,0.18
20240728014345,0.14,0.99,-0.04
20240728014346,0.10,0.94,0.03
20240728014347,0.08,0.94,0.19
20240728014348,0.09,0.92,0.23
20240728014349,0.13,0.73,0.32
20240728014350,0.07,0.91,0.34
20240728014351,0.07,0.90,0.34
20240728014352,0.07,0.92,0.27
20240728014353,0.07,0.93,0.26
20240728014354,0.07,0.93,0.26
20240728014355,0.07,0.90,0.34
20240728014356,0.07,0.93,0.25
20240728014357,0.07,0.91,0.30
20240728014358,0.08,0.94,0.20
20240728014359,0.08,0.94,0.20
20240728014400,0.08,0.94,0.20
20240728014401,0.08,0.94,0.20
20240728014402,0.08,0.94,0.20
20240728014403,0.06,0.91,0.29
20240728014404,0.06,0.93,0.24
20240728014405,0.07,0.93,0.23
20240728014406,0.07,0.93,0.23
20240728014407,0.07,0.93,0.23
20240728014408,0.07,0.94,0.21
20240728014409,0.07,0.94,0.22
20240728014410,0.07,0.94,0.21
20240728014411,0.07,0.94,0.20
20240728014412,0.07,0.94,0.21
20240728014413,0.07,0.92,0.26
20240728014414,0.07,0.93,0.22
20240728014415,0.07,0.94,0.21
20240728014416,0.07,0.94,0.21
20240728014417,0.07,0.94,0.21
20240728014418,0.07,0.94,0.21
20240728014419,0.07,0.94,0.19
20240728014420,0.07,0.94,0.21
20240728014421,0.07,0.93,0.23
20240728014422,0.07,0.93,0.23
20240728014423,0.07,0.94,0.22
